"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
67,2024,0.998798060230911,0.110480046575131,22593,0.0399072872158817,0.0326863678222754,0.869516397368626,2.71402214195183e-17
68,2009,0.812389509519562,0.106131268359275,22733,0.054650232805096,0.042721860888462,0.734834860306865,2.12585115049096e-17
68,2016,0.112534018000588,0.0476710753018975,22733,0.0429607610485535,0.0376945866372236,0.187818410794906,1.79248938666075e-18
68,2024,0.0464768323581666,0.0339993290543593,22593,0.0556410352145568,0.0494246556170417,-1.67835989029235,1.09996036698778e-19
69,2009,0.794342321110889,0.10458268328829,22733,0.0536065004093457,0.0417237266652176,0.737255002511415,3.23702465838476e-18
69,2016,0.150502610020339,0.0512316530893041,22733,0.0400639162762145,0.0349950333182018,0.388425787319286,7.8445288775951e-18
69,2024,0.316844918765128,0.0562281995888406,22593,0.0363120148337877,0.0313387764134124,0.582927493747202,2.39497802895398e-18
70,2009,0.439831687603146,0.082353630982144,22733,0.0426405427642166,0.0336010949610376,0.731898620431064,3.16622279401859e-18
70,2016,0.897295942762867,0.0989938298540306,22733,0.0325666861819112,0.0262203320112496,0.891769418930306,8.93149574654329e-19
70,2024,0.0524017908610404,0.0348343175173427,22593,0.0548440534695998,0.0486814757338506,-1.47892679482993,-7.09150664895828e-18
71,2009,0.754475158639252,0.101393310763131,22733,0.051545939036717,0.0398239885853595,0.741542340140691,8.36396839525825e-18
71,2016,0.264767128042877,0.0599085566733188,22733,0.0337771186279186,0.0291182709353342,0.682102882815492,3.98066332338322e-18
71,2024,0.674118013121188,0.0740834127735333,22593,0.0266941863022054,0.0216552914462189,0.870159363445165,-3.59836601886818e-18
72,2009,0.629221131559461,0.0928348404958008,22733,0.0467251005751844,0.0360581248095887,0.746663595109768,-6.46094927578384e-18
72,2016,0.750382491620257,0.0866099072129417,22733,0.0269975693016342,0.0214434759573316,0.902829757352424,-1.09728638539763e-17
72,2024,0.144143382553011,0.0444185305601748,22593,0.0460607898301229,0.0404623347315593,-0.0753593362634655,-5.55598366740516e-18
73,2009,0.710182401351631,0.0981508005751413,22733,0.0495877786640602,0.0381445157937624,0.744741201871395,1.66006737137324e-17
73,2016,0.342774988152087,0.0646920482183084,22733,0.0309509118292601,0.0264387690985412,0.771090299284461,-3.87725801214957e-19
73,2024,0.302435294026509,0.0554056989496039,22593,0.0369399980255558,0.0319231605711528,0.555466921760144,-8.33459125240796e-19
